,$,self,id,and,div,mult,or,minus,plus,geq,leq,gt,lt,neq,eq,assign,colon,comma,void,float,int,rsqbr,intlit,lsqbr,rpar,lpar,dot,not,floatlit,rcurbr,lcurbr,semi,return,write,read,while,else,then,if,local,attribute,constructor,arrow,function,private,public,implementation,isa,class
START,START -> _createRoot PROG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,START -> _createRoot PROG,,START -> _createRoot PROG,,,START -> _createRoot PROG,,START -> _createRoot PROG
PROG,PROG -> &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROG -> CLASSIMPLFUNC _addToProgram PROG,,PROG -> CLASSIMPLFUNC _addToProgram PROG,,,PROG -> CLASSIMPLFUNC _addToProgram PROG,,PROG -> CLASSIMPLFUNC _addToProgram PROG
CLASSIMPLFUNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSIMPLFUNC -> FUNCDEF,,CLASSIMPLFUNC -> FUNCDEF,,,CLASSIMPLFUNC -> IMPLDEF,,CLASSIMPLFUNC -> CLASSDECL
CLASSDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECL -> class id _createClassId _createInheritanceList ISA1 lcurbr _addMemberList VISMEMBERDECL rcurbr semi _createClass
VISMEMBERDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VISMEMBERDECL -> &epsilon,,,,,,,,,,,,,,,VISMEMBERDECL -> VISIBILITY MEMDECL _addMember VISMEMBERDECL,VISMEMBERDECL -> VISIBILITY MEMDECL _addMember VISMEMBERDECL,,,
ISA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISA1 -> &epsilon,,,,,,,,,,,,,,,,,ISA1 -> isa id _addInheritanceId ISA2,
ISA2,,,,,,,,,,,,,,,,,,ISA2 -> comma id _addInheritanceId ISA2,,,,,,,,,,,,,ISA2 -> &epsilon,,,,,,,,,,,,,,,,,,
IMPLDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPLDEF -> implementation id _createImplementationId lcurbr _createImplementationList IMPLBODY rcurbr _createImplementation,,
IMPLBODY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPLBODY -> &epsilon,,,,,,,,,,,,IMPLBODY -> FUNCDEF _addImplementationFunction IMPLBODY,,IMPLBODY -> FUNCDEF _addImplementationFunction IMPLBODY,,,,,
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF -> FUNCHEAD _addStatementsList FUNCBODY _createFunction,,FUNCDEF -> FUNCHEAD _addStatementsList FUNCBODY _createFunction,,,,,
