nonterminal,first set,follow set,nullable,endable
START,class implementation function constructor,∅,yes,yes
ARRAYSIZE2,intlit rsqbr,semi lsqbr rpar comma,no,no
CLASSDECL,class,class implementation function constructor,no,yes
EXPR2,eq neq lt gt leq geq,comma rpar semi,yes,no
FACTOR2,lpar lsqbr,mult div and dot eq neq lt gt leq geq rsqbr plus minus or comma rpar semi,yes,no
REPTVARIABLEORFUNCTIONCALL,dot,mult div and eq neq lt gt leq geq rsqbr plus minus or comma rpar semi,yes,no
FUNCBODY,lcurbr,class implementation function constructor rcurbr,no,yes
FUNCHEAD,function constructor,semi lcurbr,no,no
FPARAMS,id,rpar,yes,no
IDNEST,dot,mult div and dot eq neq lt gt leq geq rsqbr plus minus or comma rpar semi,no,no
IDNEST2,lpar lsqbr,mult div and dot eq neq lt gt leq geq rsqbr plus minus or comma rpar semi,yes,no
IMPLDEF,implementation,class implementation function constructor,no,yes
LOCALVARDECL,local,local if while read write return id self rcurbr,no,no
FUNCDECL,function constructor,public private rcurbr,no,no
ATTRIBUTEDECL,attribute,public private rcurbr,no,no
OPTCLASSDECL2,isa,lcurbr,yes,no
PROG,class implementation function constructor,∅,yes,yes
RELOP,eq neq lt gt leq geq,intlit floatlit lpar not id self plus minus,no,no
APARAMSTAIL,comma,comma rpar,no,no
REPTAPARAMS1,comma,rpar,yes,no
MEMBERDECL,attribute function constructor,public private rcurbr,no,no
REPTCLASSDECL4,public private,rcurbr,yes,no
REPTFPARAMS3,lsqbr,rpar comma,yes,no
FPARAMSTAIL,comma,comma rpar,no,no
REPTFPARAMS4,comma,rpar,yes,no
REPTFPARAMSTAIL4,lsqbr,comma rpar,yes,no
LOCALVARDECLORSTAT,local if while read write return id self,local if while read write return id self rcurbr,no,no
REPTFUNCBODY1,local if while read write return id self,rcurbr,yes,no
INDICE,lsqbr,mult div and lsqbr dot eq neq lt gt leq geq rsqbr plus minus or comma rpar semi,no,no
FUNCDEF,function constructor,class implementation function constructor rcurbr,no,yes
REPTIMPLDEF3,function constructor,rcurbr,yes,no
REPTOPTCLASSDECL22,comma,lcurbr,yes,no
CLASSORIMPLORFUNC,class implementation function constructor,class implementation function constructor,no,yes
REPTPROG0,class implementation function constructor,∅,yes,yes
ARRAYSIZE,lsqbr,semi lsqbr rpar comma,no,no
RETURNTYPE,void int float id,semi lcurbr,no,no
ADDOP,plus minus or,intlit floatlit lpar not id self plus minus,no,no
RIGHTRECARITHEXPR,plus minus or,eq neq lt gt leq geq rsqbr comma rpar semi,yes,no
MULTOP,mult div and,intlit floatlit lpar not id self plus minus,no,no
SIGN,plus minus,intlit floatlit lpar not id self plus minus,no,no
REPTSTATBLOCK1,if while read write return id self,rcurbr,yes,no
STATEMENT,if while read write return id self,else semi local if while read write return id self rcurbr,no,no
RELEXPR,intlit floatlit lpar not id self plus minus,rpar,no,no
STATBLOCK,lcurbr if while read write return id self,else semi,yes,no
SELECTORLIST0,lsqbr dot,lpar assign,yes,no
TYPESELECTOR,lsqbr dot,lsqbr dot lpar assign,no,no
ARITHEXPR,intlit floatlit lpar not id self plus minus,eq neq lt gt leq geq rsqbr comma rpar semi,no,no
STATEMENTSUFFIX0,lpar assign,else semi local if while read write return id self rcurbr,no,no
EXPR,intlit floatlit lpar not id self plus minus,comma rpar semi,no,no
TERM,intlit floatlit lpar not id self plus minus,eq neq lt gt leq geq rsqbr plus minus or comma rpar semi,no,no
FACTOR,intlit floatlit lpar not id self plus minus,mult div and eq neq lt gt leq geq rsqbr plus minus or comma rpar semi,no,no
RIGHTRECTERM,mult div and,eq neq lt gt leq geq rsqbr plus minus or comma rpar semi,yes,no
VARDECL,id,local if while read write return id self public private rcurbr,no,no
TYPE,int float id,rpar lcurbr comma lsqbr semi,no,no
REPTVARDECL3,lsqbr,semi,yes,no
VARIABLE,id self,rpar,no,no
IDORSELF,id self,mult div and assign lpar lsqbr dot eq neq lt gt leq geq rsqbr plus minus or comma rpar semi,no,no
VARIABLE2,lpar lsqbr dot,rpar,yes,no
REPTVARIABLE,dot,rpar,yes,no
VARIDNEST2,lpar lsqbr,dot rpar,yes,no
APARAMS,intlit floatlit lpar not id self plus minus,rpar,yes,no
VARIDNEST,dot,dot rpar,no,no
REPTIDNEST1,lsqbr,mult div and dot eq neq lt gt leq geq rsqbr plus minus or comma rpar semi,yes,no
VISIBILITY,public private,attribute function constructor,no,no
